id,strategy_name,series_ticker,side,entry_price,exit_price,quantity,entry_fee,exit_fee,spread_paid,pnl,net_pnl,entry_time,exit_time,exit_reason,status,confidence,predicted_fair_value,edge_cents,kalshi_order_id
502,crypto_intel_prod,KXSOL15M,yes,0.1300,,3,0.0,0,0.005,0.00,0.00,2026-05-17 13:10:15.643155-07,2026-05-17 13:25:15.643155-07,recovered_from_kalshi_api,closed,0.4,0.1786,4.9,10115de7-b14f-4e15-83e6-f74e83a9d681
525,crypto_intel_prod,KXBTC15M,no,0.6100,1.0000,1,0,0,0.005,0.39,0.39,2026-05-17 13:18:04.025623-07,2026-05-17 13:30:58.512094-07,finalized(result=no),closed,0.55,0.2968,9.3,da14b8d4-305f-4cc7-8b90-7f174899fd1a
530,crypto_intel_prod,KXETH15M,yes,0.2400,0.0000,2,0,0,0.01,-0.48,-0.48,2026-05-17 13:22:39.14158-07,2026-05-17 13:30:59.040728-07,finalized(result=no),closed,0.48,0.3069,6.7,3404b816-3ddc-4c81-8382-164786d60bf8
531,crypto_intel_prod,KXSOL15M,yes,0.1200,0.0000,4,0,0,0.015,-0.48,-0.48,2026-05-17 13:22:39.509117-07,2026-05-17 13:30:59.567623-07,finalized(result=no),closed,0.4,0.1606,4.1,c0c29837-4941-406f-aab1-4c2f9348fcd6
537,crypto_intel_prod,KXDOGE15M,yes,0.1700,0.0000,2,0,0,0.0395,-0.34,-0.34,2026-05-17 13:56:31.114135-07,2026-05-17 14:06:49.589244-07,settled,closed,0.3,0.2024,3.2,b959c5c1-cbd6-4ec5-afda-fd3c1c84c6cc
538,crypto_intel_prod,,yes,0.2300,0.0000,2,0,0,,-0.46,-0.46,2026-05-17 13:56:31.545058-07,2026-05-17 14:06:49.618204-07,settled,closed,,,,c74f99d2-25e5-4f86-a786-211e0ddf0388
539,crypto_intel_prod,,no,0.2400,0.0000,4,0,0,,-0.96,-0.96,2026-05-17 13:56:31.558033-07,2026-05-17 14:06:49.642369-07,settled,closed,,,,df601830-7049-4ae2-8650-2333c94d69f2
544,crypto_intel_prod,KXBTC15M,no,0.6000,0.0000,1,0,0,0.005,-0.60,-0.60,2026-05-17 14:19:49.824455-07,2026-05-17 14:31:17.138366-07,finalized(result=yes),closed,0.55,0.2977,10.2,559c30a0-4547-48c0-9b1b-f555f9fb9640
545,crypto_intel_prod,KXETH15M,yes,0.2500,0.0000,2,0,0,0.015,-0.50,-0.50,2026-05-17 15:01:09.159944-07,2026-05-17 15:15:24.162176-07,finalized(result=no),closed,0.55,0.3519,10.2,b3773bc4-006b-4394-ac97-ec2a80d4140c
546,crypto_intel_prod,KXSOL15M,yes,0.2800,0.0000,1,0,0,0.015,-0.28,-0.28,2026-05-17 15:01:09.538712-07,2026-05-17 15:15:23.639178-07,finalized(result=no),closed,0.45,0.3855,10.6,53c6223e-58d1-4c77-bccf-aaf7d15fbd24
