scan_time,strategy_name,coin_name,action,side,entry_price,edge_cents,edge_ratio,confidence,market_prob,model_fair_yes,fair_yes,fair_no,volatility,spread,open_interest,ttl_minutes,strike_price,spot_price,trade_id,resolved_yes,result
2026-05-17 12:32:29.795301-07,crypto_intel_prod,HYPE,positive_ev_direction_agreement_signal,yes,0.3,8.5,0.285,0.4,28.000000000000004,0.42863944772932244,0.38539212575453835,0.6146078742454617,2.079067825071252,0.04,66.95,12.519421666666666,46.1291,46.045,,t,yes
2026-05-17 12:36:40.589865-07,crypto_intel_prod,HYPE,positive_ev_direction_agreement_signal,yes,0.24,6.2,0.257,0.25,20.5,0.3789142943455258,0.30166912743134716,0.6983308725686528,2.635715703596287,0.07,98.95,8.34118595,46.1291,45.98,,t,yes
2026-05-17 12:46:46.159783-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.24,4.2,0.173,0.4,23.0,0.3000116724597613,0.2816172089943763,0.7183827910056237,0.23979946073885222,0.02,1294.52,13.289066216666667,2191.21,2189.825,,f,no
2026-05-17 12:47:53.781903-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,no,0.21,6.5,0.312,0.38,79.5,0.6936171514476346,0.7245806576711105,0.27541934232888954,0.25619417164741015,0.01,36.62,12.125135966666667,0.110756,0.110825,,f,no
2026-05-17 12:49:03.410144-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,no,0.19,6.5,0.344,0.38,83.0,0.6994120653404008,0.744611776448267,0.25538822355173296,0.4098182346652448,0.04,433.22,11.014780616666666,86.635,86.72,,t,yes
2026-05-17 13:01:44.873386-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,no,0.24,6.0,0.248,0.33,78.0,0.672080091011508,0.7004329720523298,0.2995670279476702,0.49168291389949986,0.04,44.13,13.289413466666668,0.110663,0.110785,,t,yes
2026-05-17 13:09:06.928857-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.23,3.9,0.169,0.35,21.000000000000004,0.33601685543259985,0.2688641582769592,0.7311358417230408,0.392007183741822,0.04,2660.2,5.9212737833333335,86.7333,86.685,,f,no
2026-05-17 13:10:15.833697-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.13,4.9,0.374,0.4,12.5,0.2510928348340866,0.1786176331135399,0.8213823668864602,0.38932760809988126,0.01,2674.36,4.778821983333333,86.7333,86.665,502,f,no
2026-05-17 13:18:04.208834-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,no,0.61,9.3,0.153,0.55,39.5,0.2525215345342715,0.29675819289380745,0.7032418071061926,0.12870232560439623,0.01,55096.8,11.986919733333334,78317.93,78285.85,525,f,no
2026-05-17 13:21:30.430463-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,yes,0.14,5.9,0.419,0.38,11.000000000000002,0.2674060596379519,0.1986174196180834,0.8013825803819166,0.7267946592810437,0.06,386.43,8.535983850000001,0.110666,0.110465,527,f,no
2026-05-17 13:22:39.322261-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.24,6.7,0.279,0.48,23.0,0.37749849961092136,0.30688828808623797,0.693111711913762,0.3571366837587319,0.02,2983.63,7.398595416666667,2188.75,2187.835,530,f,no
2026-05-17 13:22:39.692559-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.12,4.1,0.339,0.4,10.5,0.21181690514703266,0.1606407816229904,0.8393592183770096,0.4269723007186837,0.03,1248.19,7.3881449833333335,86.716,86.605,531,f,no
2026-05-17 13:34:31.391967-07,crypto_intel_prod,BNB,positive_ev_direction_agreement_signal,no,0.25,5.5,0.221,0.33,79.0,0.63989501922707,0.6946498350950692,0.30535016490493083,0.22896887635539942,0.08,128.17,10.506087033333333,654.43,654.67,533,t,yes
2026-05-17 13:37:59.183994-07,crypto_intel_prod,XRP,positive_ev_direction_agreement_signal,no,0.28,6.2,0.222,0.38,74.0,0.5788046962100316,0.6579597633847518,0.3420402366152482,0.3869744831950241,0.04,467.6,7.062253566666667,1.418,1.4184,535,t,yes
2026-05-17 13:56:31.297374-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,yes,0.17,3.2,0.191,0.3,13.05,0.3203003850031168,0.2024028301527416,0.7975971698472584,0.457142165813322,0.079,840.11,3.5136532666666667,0.110576,0.110515,537,f,no
2026-05-17 14:19:50.012631-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,no,0.6,10.2,0.17,0.55,40.5,0.2336456875476745,0.29770867869357076,0.7022913213064292,0.10965145510199603,0.01,78995.02,10.258289166666666,78267.61,78240.055,544,t,yes
2026-05-17 15:01:09.349085-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,yes,0.25,10.2,0.408,0.55,23.5,0.38890143534314364,0.3519035888717983,0.6480964111282017,0.45308936079403217,0.03,1107.76,13.8981922,2190.98,2189.54,545,f,no
2026-05-17 15:01:09.723781-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.28,10.6,0.377,0.45,26.5,0.42379857734578363,0.38554802326925214,0.6144519767307479,0.5326455225960777,0.03,268.32,13.885236416666666,86.8807,86.835,546,f,no
2026-05-17 15:23:24.941461-07,crypto_intel_prod,DOGE,positive_ev_direction_agreement_signal,yes,0.17,4.7,0.275,0.3,16.5,0.26997249857296557,0.21669343212758285,0.7833065678724171,0.8802993233827326,0.01,136.13,6.612201333333333,0.110366,0.110155,547,f,no
2026-05-17 15:32:28.5073-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,no,0.17,6.5,0.383,0.43,83.5,0.7365653065356852,0.764936380608412,0.23506361939158804,0.44106914720797574,0.01,526.23,12.593937183333333,2179.71,2182.69,548,t,yes
2026-05-17 15:33:37.698775-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,no,0.29,6.0,0.208,0.43,72.5,0.6122777185448335,0.6495430175950474,0.3504569824049526,0.5221164760869113,0.03,566.65,11.438348083333333,2179.71,2181.225,549,t,yes
2026-05-17 15:35:57.340056-07,crypto_intel_prod,XRP,positive_ev_direction_agreement_signal,no,0.17,4.1,0.238,0.35,84.5,0.7498340172985526,0.7894721239390963,0.21052787606090373,0.6062231168236235,0.03,425.99,9.095031883333332,1.4109,1.4133,550,t,yes
2026-05-17 15:35:57.713025-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,no,0.16,3.8,0.236,0.35,85.0,0.7681495116354828,0.8022111312863867,0.19778886871361334,0.5906331234912916,0.02,694.39,9.105153633333334,86.0798,86.235,551,t,yes
2026-05-17 15:37:29.396343-07,crypto_intel_prod,BTC,positive_ev_direction_agreement_signal,yes,0.27,8.3,0.308,0.55,26.5,0.4320051338447054,0.3532878932730698,0.6467121067269301,0.5535788516859329,0.01,77642.76,7.599648216666667,77970.11,77942.005,552,t,yes
2026-05-17 15:38:39.778765-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,no,0.28,4.4,0.159,0.4,73.0,0.6177433360131516,0.6755644677972998,0.32443553220270016,0.7794336698617126,0.02,1120.02,6.40691655,86.0798,86.15,553,t,yes
2026-05-17 15:45:29.052477-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.36,6.2,0.172,0.33,34.0,0.4447053261555311,0.42201744011966075,0.5779825598803392,0.6261296379989443,0.04,16.0,14.5450034,86.2645,86.225,554,f,no
2026-05-17 16:00:51.106497-07,crypto_intel_prod,ETH,positive_ev_direction_agreement_signal,no,0.51,9.0,0.177,0.5,50.0,0.370009375781008,0.3998649557235966,0.6001350442764034,0.36624549964162834,0.02,590.88,14.190685316666666,2178.11,2176.735,555,f,no
2026-05-17 16:02:00.756-07,crypto_intel_prod,SOL,positive_ev_direction_agreement_signal,yes,0.31,6.6,0.211,0.38,30.5,0.40176694992506257,0.37550135599700574,0.6244986440029943,0.508471505330116,0.01,170.44,13.051869433333334,86.1693,86.115,556,f,no
